"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"2";"";"MA04-1";"MA04-1";"SV1, SV2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"41";"";
"2";"0402CG150J500NT - 15pF";"C-EUC0402";"C0402";"C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"1";"0603B334K250NT - 330nF";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"1";"10129383-906001ALF";"10129383-906001ALF";"10129383906001ALF";"J3";"Headers & Wire Housings ECONOSTIK HEADER DR VT SMT 2X3";"10129383-906001ALF";"https://www.arrow.com/en/products/10129383-906001alf/amphenol-fci";"Headers & Wire Housings ECONOSTIK HEADER DR VT SMT 2X3";"8.58mm";"Amphenol";"10129383-906001ALF";"";"649-1012938390601ALF";"https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/10129383-906001ALF?qs=0lQeLiL1qyZsINMRDvT9Pw%3D%3D";"";"";"";"";"";
"3";"1k";"R-EU_R0402";"R0402";"R3, R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"A6S-3101-H";"A6S-3101-H";"A6S3104H";"S1";"3 Way Surface Mount DIP Switch 3P";"";"";"3 Way Surface Mount DIP Switch 3P";"4.5mm";"Omron Electronics";"A6S-3101-H";"";"653-A6S-3101-H";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/A6S-3101-H?qs=ZP3UR5XsUoc1g2fyRqfX8w%3D%3D";"";"";"";"";"";
"1";"ATTINY441-SSU";"ATTINY441-SSU";"SOIC127P600X175-14N";"IC1";"8-bit Microcontrollers - MCU 16MHz 0.150" 14 SOIC";"ATTINY441-SSU";"https://www.arrow.com/en/products/attiny441-ssu/microchip-technology";"8-bit Microcontrollers - MCU 16MHz 0.150" 14 SOIC";"1.75mm";"Microchip";"ATTINY441-SSU";"";"556-ATTINY441-SSU";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATTINY441-SSU/?qs=HVbQlW5zcXWQGPvGy4LqgA%3D%3D";"";"";"";"";"";
"1";"CL05B104KO5NNNC - 100n";"C-EUC0402";"C0402";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"18";"C";
"1";"Everlight Elec 19-217/GHC-YR1S2/3T";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"28";"";
"2";"GROVE_CONNECTOR2.0_1X4";"GROVE_CONNECTOR2.0_1X4";"2.0_1X4_STRAIGHT";"J1, J2";"Seeedstudio Grove-Connector:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LOGO_MORPHBOT5MM";"LOGO_MORPHBOT5MM";"LOGO_MORPHBOT";"U$1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NCP1117ST50T3G";"NCP1117ST50T3G";"SOT230P700X180-4N";"IC3";"ON SEMICONDUCTOR - NCP1117ST50T3G - LDO, REG, 20VIN, 1A, 5V, 1%, SOT223-3";"NCP1117ST50T3G";"https://www.arrow.com/en/products/ncp1117st50t3g/on-semiconductor";"ON SEMICONDUCTOR - NCP1117ST50T3G - LDO, REG, 20VIN, 1A, 5V, 1%, SOT223-3";"1.8mm";"ON Semiconductor";"NCP1117ST50T3G";"";"863-NCP1117ST50T3G";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/NCP1117ST50T3G?qs=Gev%252BmEvV0ib6dijy6U0dhQ%3D%3D";"";"";"";"";"";
"3";"OPEN-PNP-FIDUCIAL";"OPEN-PNP-FIDUCIAL";"OPEN-PNP-FIDUCIAL";"FID1, FID2, FID3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"ST(Semtech) CK1C470M-CRD54 - 47uF";"CPOL-EUC";"PANASONIC_C";"C2, C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"4";"C";
"1";"Uniroyal Elec 0402WGF1001TCE - 170R";"R-EU_R0402";"R0402";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF1002TCE - 10kR";"R-EU_R0402";"R0402";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Walsin Tech Corp 0603B104K250CT - 100nF";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"1";"X322516MLB4SI";"X322516MLB4SI";"X322516MLB4SI";"Y1";"Crystal";"";"";"Crystal";"0.8mm";"Yangxing Tech";"X322516MLB4SI";"";"";"";"";"";"";"";"";
